Classification	RDP	UTAX	SINTAX	Consensus
Phaeolus schweinitzii	0	1	1	1
Phaeophyscia trichophora	0	1	0	0
Phaeosphaeria anchiala	0	1	0	1
Phaeosphaeria berlesei	0	18	0	14
Phaeosphaeria caricicola	0	3	0	3
Phaeosphaeria halima	0	6	0	6
Phaeosphaeria juncicola	0	2	0	2
Phaeosphaeria pleurospora	0	4	0	4
Phaeosphaeria triglochinicola	0	15	0	15
Phaeosphaeriaceae	56	0	0	56
Phaeothecoidea proteae	0	1	0	1
Phaeotremella skinneri	0	1	0	1
Phanerochaetaceae	6	0	0	6
Phanerochaete arizonica	0	1	0	0
Phanerochaete carnosa	0	1	0	0
Phanerochaete sordida	0	1	0	1
Phanerochaete tuberculata	0	1	0	1
Phellinus tremulae	0	2	0	0
Phellinus viticola	0	1	1	1
Phellopilus nigrolimitatus	0	2	1	2
Phellorinia herculeana	0	1	1	1
Phialemonium atrogriseum	0	2	1	2
Phialemonium inflatum	0	3	1	3
Phialocephala fortinii	0	7	1	7
Phialocephala scopiformis	0	3	0	3
Phialocephala sphaeroides	0	1	1	1
Phialocephala virens	0	2	0	2
Phialophora hyalina	0	1	1	1
Phialophora mustea	0	11	0	11
Phlebia centrifuga	0	1	1	1
Phlyctochytrium reinboldtiae	0	1	0	1
Pholiota brunnescens	0	1	0	0
Pholiota lubrica	0	1	0	0
Pholiota squarrosa	0	1	0	0
Phoma aloes	0	27	0	22
Phoma herbarum	0	1	0	1
Phoma multirostrata	0	1	0	1
Phoma polemonii	0	1	0	1
Phomatospora striatigera	0	1	0	1
Phomopsis arctii	0	1	0	0
Phragmocephala atra	0	3	0	3
Phragmocephala garethjonesii	0	44	0	44
Phylliscum demangeonii	0	1	0	1
Phylloporia ribis	0	2	0	1
Phyllosticta ampelicida	0	1	0	1
Phyllosticta carissicola	0	1	0	1
Phyllosticta citricarpa	0	1	0	1
Phyllotopsis nidulans	0	1	0	1
Phyllozyma coprosmicola	0	1	0	1
Phyllozyma linderae	0	3	0	3
Phyllozyma novozealandica	0	2	0	2
Phyllozyma subbrunnea	0	9	0	7
Physalospora vaccinii	0	9	0	9
Physcia adscendens	0	1	0	0
Physcia caesia	0	1	0	1
Physciaceae	2	0	0	2
Physisporinus vitreus	0	1	0	0
Pichia kluyveri	0	1	1	1
Pichiaceae	2	0	0	0
Pilatoporus primaevus	0	1	0	0
Pilidium acerinum	0	1	0	0
Pilidium concavum	0	1	1	1
Piloderma lanatum	0	1	0	0
Piloderma sphaerosporum	0	2	1	2
Piptocephalis tieghemiana	0	1	0	1
Piptoporus soloniensis	0	1	0	1
Pistillaria petasitis	0	1	0	1
Placopsis perrugosa	0	1	0	1
Platygloeaceae	2	0	0	2
Plectania melastoma	0	3	0	3
Plectosphaerella cucumerina	0	1	0	0
Plectosphaerellaceae	3	0	0	3
Plenodomus agnitus	0	1	0	1
Plenodomus collinsoniae	0	8	0	8
Plenodomus confertus	0	1	0	1
Plenodomus influorescens	0	2	0	2
Plenodomus lupini	0	1	0	1
Pleosporaceae	267	0	0	266
Pleosporales incertae sedis	1	0	0	32
Pleosporales_incertae sedis	31	0	0	0
Pleurostoma repens	0	1	0	1
Pleurotaceae	2	0	0	2
Pleurotus pulmonarius	0	1	0	0
Plicaturopsis crispa	0	1	1	1
Pluteaceae	1	0	0	1
Pluteus shikae	0	1	0	0
Pochonia bulbillosa	0	1	1	1
Pochonia cordycepisociata	0	1	0	0
Podosordaria jugoyasan	0	1	0	1
Podosphaera astericola	0	1	0	0
Podospora araneosa	0	2	0	2
Podospora austrohemisphaerica	0	1	0	1
Podospora communis	0	2	0	0
Podospora fabiformis	0	1	0	1
Podospora multipilosa	0	5	0	3
Podospora pleiospora	0	1	0	0
Polyporaceae	10	0	0	7
Polyporus varius	0	1	1	1
Polyscytalum pustulans	0	6	0	6
Polysporina subfuscescens	0	1	0	1
Porpidia crustulata	0	1	0	1
Postia caesia	0	1	0	0
Postia undosa	0	1	1	1
Powellomyces hirtus	0	1	1	1
Preussia africana	0	2	0	2
Preussia dubia	0	1	0	1
Preussia flanaganii	0	7	2	2
Preussia longisporopsis	0	15	0	4
Preussia minipascua	0	4	0	3
Preussia persica	0	1	0	0
Preussia pilosella	0	1	0	0
Preussia terricola	0	4	0	2
Preussia tetramera	0	1	0	1
Prosthemium stellare	0	44	0	44
Protodontia piceicola	0	1	0	1
Protomyces inouyei	0	1	1	1
Protoparmeliopsis peltata	0	1	0	0
Protounguicularia variepilosa	0	1	1	1
Protrudomyces lateralis	0	1	0	1
Psathyrella calcarea	0	2	0	2
Psathyrella candolleana	0	3	0	3
Psathyrella corrugis	0	1	0	0
Psathyrella fagetophila	0	1	0	1
Psathyrella globosivelata	0	1	1	1
Psathyrella laricina	0	1	0	1
Psathyrella magnispora	0	2	0	0
Psathyrella pseudogracilis	0	3	0	0
Psathyrella sublatispora	0	1	0	0
Psathyrella umbrina	0	1	0	0
Psathyrellaceae	78	0	0	76
Pseudeurotiaceae	3	0	0	3
Pseudeurotium bakeri	0	1	0	1
Pseudeurotium hygrophilum	0	1	0	1
Pseudeurotium ovale	0	2	0	2
Pseudocercospora cladrastidis	0	2	0	2
Pseudocercosporella chaenomelis	0	3	0	0
Pseudocoleophoma calamagrostidis	0	1	0	1
Pseudogymnoascus appendiculatus	0	7	0	7
Pseudogymnoascus roseus	0	5	0	2
Pseudophialophora angusta	0	1	0	1
Pseudophialophora dichanthii	0	3	0	3
Pseudophialophora eragrostis	0	68	0	68
Pseudophialophora magnispora	0	141	0	141
Pseudophialophora panicorum	0	3	0	3
Pseudoseptoria collariana	0	3	0	3
Pseudoseptoria obscura	0	2	0	2
Pseudotomentella nigra	0	7	6	7
Pseudotomentella tristis	0	1	0	0
Pseudotomentella vepallidospora	0	1	0	1
Psilachnum chrysostigmum	0	2	0	2
Psilocybe inquilina	0	12	0	11
Psilocybe montana	0	1	0	1
Psoroma hypnorum	0	1	0	1
Pterulaceae	1	0	0	0
Puccinia brachypodii	0	3	0	0
Puccinia graminis	0	1	0	0
Puccinia helianthi	0	1	0	0
Puccinia kuehnii	0	1	0	1
Puccinia myrsiphylli	0	1	0	0
Pucciniaceae	8	0	0	8
Purpureocillium lilacinum	0	1	0	1
Pycnoporus cinnabarinus	0	2	0	1
Pyrenopeziza brassicae	0	2	0	2
Pyrenophora japonica	0	1	0	1
Pyrenophora lolii	0	1	0	0
Pyrenophora tritici-repentis	0	3	0	1
Pyronemataceae	29	0	0	22
Radulidium subulatum	0	0	1	0
Radulodon americanus	0	1	1	1
Raffaelea rapaneae	0	1	0	1
Ramalina tortuosa	0	1	0	1
Ramariopsis crocea	0	1	0	1
Ramariopsis kunzei	0	1	0	1
Ramichloridium indicum	0	1	0	1
Ramularia armoraciae	0	2	0	2
Ramularia geranii	0	3	0	3
Ramularia leonuri	0	1	0	0
Ramularia rhabdospora	0	5	0	5
Remispora stellata	0	1	0	1
Resinicium furfuraceum	0	0	1	1
Resupinatus poriaeformis	0	1	0	1
Resupinatus striatulus	0	1	0	1
Retroconis fusiformis	0	2	0	1
Rhinocladiella fasciculata	0	1	0	1
Rhizocarpon geographicum	0	1	0	1
Rhizoctonia fusispora	0	1	0	1
Rhizocybe vermicularis	0	1	0	0
Rhizophagus irregularis	0	2	0	0
Rhizophlyctis rosea	0	4	2	4
Rhizoplaca porteri	0	2	0	1
Rhodocybe tugrulii	0	1	0	1
Rhodosporidiobolus colostri	0	13	0	7
Rhodosporidiobolus lusitaniae	0	1	0	1
Rhodosporidiobolus odoratus	0	1	0	1
Rhodotorula araucariae	0	1	0	1
Rhodotorula glutinis	0	1	0	0
Rhodotorula mucilaginosa	0	1	0	0
Rhodotorula subericola	0	2	0	2
Rhytismataceae	3	0	0	3
Rinodina sophodes	0	1	0	1
Roccella applanata	0	1	0	0
Rodwayella citrinula	0	1	0	1
Rosasphaeria moravica	0	1	0	1
Rosellinia abscondita	0	11	0	11
Rosellinia mammiformis	0	2	0	2
Roseodiscus subcarneus	0	6	0	6
Royoungia boletoides	0	1	0	1
Rugosomyces naucoria	0	1	1	1
Ruinenia clavata	0	1	0	1
Russula adusta	0	1	0	0
Russula chloroides	0	1	0	0
Russula delica	0	1	0	0
Russula emetica	0	1	0	0
Russula fulvograminea	0	1	0	0
Russula griseascens	0	1	1	1
Russula nigricans	0	1	0	0
Russula nitida	0	1	0	0
Russula olivobrunnea	0	4	0	0
Russula puellaris	0	1	0	0
Russula renidens	0	1	0	0
Russula sapinea	0	2	0	0
Russula suecica	0	1	1	1
Russula versicolor	0	1	1	1
Russula vinososordida	0	4	0	0
Russulaceae	27	0	0	23
Rutstroemia tiliacea	0	1	0	1
Saccharomycetaceae	3	0	0	3
Saccharomycetales incertae sedis	1	0	0	2
Saccharomycetales_incertae sedis	8	0	0	0
Sagenomella striatispora	0	1	0	0
Saitozyma flava	0	2	0	1
Sarcosomataceae	1	0	0	1
Sarocladium summerbellii	0	0	4	4
Savoryella appendiculata	0	1	0	1
Saxophila tyrrhenica	0	14	0	14
Schizoparmaceae	1	0	0	1
Schizoporaceae	3	0	0	2
Schizothecium carpinicola	0	13	0	7
Schizothecium conicum	0	11	0	9
Schizothecium glutinans	0	12	0	12
Scleroconidioma sphagnicola	0	1	0	1
Scleroderma citrinum	0	2	0	2
Scleromitrula spiraeicola	0	2	0	2
Sclerophora pallida	0	1	0	1
Sclerotiniaceae	4	0	0	4
Scolecobasidium constrictum	0	2	0	2
Scopulariopsis cordiae	0	1	0	0
Scutellinia olivascens	0	1	0	0
Scutellinia scutellata	0	1	1	1
Scytalidium circinatum	0	16	13	16
Sebacina cystidiata	0	1	0	1
Sebacinales group a	1	0	0	1
Sebacinales group b	2	0	0	2
Seifertia azaleae	0	1	0	1
Seimatosporium pistaciae	0	1	0	0
Semifissispora rotundata	0	1	0	1
Septobasidium castaneum	0	1	0	1
Septoria epilobii	0	1	0	0
Septoria glycinicola	0	1	0	0
Septoria oenanthicola	0	5	0	5
Septoria senecionis	0	1	0	0
Septoria urticae	0	3	0	2
Septoriella hirta	0	190	0	168
Septoriella hubertusii	0	3	0	3
Septoriella phragmitis	0	8	0	8
Serendipita herbamans	0	1	0	1
Seticyphella tenuispora	0	1	0	1
Setomelanomma holmii	0	1	0	1
Sigarispora arundinis	0	90	0	15
Simocybe reducta	0	2	0	2
Simplicillium cylindrosporum	0	1	0	0
Siphula elixii	0	1	0	1
Sistotrema brinkmannii	0	0	1	0
Sistotrema raduloides	0	0	1	1
Sistotremataceae	1	0	0	0
Slopeiomyces cylindrosporus	0	859	703	737
Solenopezia solenia	0	5	0	5
Solicoccozyma aeria	0	4	0	2
Solicoccozyma fuscescens	0	2	0	0
Solicoccozyma terrea	0	3	0	2
Solicoccozyma terricola	0	3	3	3
Sonoraphlyctis ranzonii	0	1	1	1
Sordaria fimicola	0	2	0	1
Sordariaceae	2	0	0	1
Sordariales incertae sedis	0	0	0	1
Sordariales_incertae sedis	1	0	0	0
Sordariomycetes incertae sedis	0	0	0	13
Sordariomycetes_incertae sedis	13	0	0	0
Sparticola junci	0	1	1	1
Sphaerobolus stellatus	0	2	2	2
Sphaerulina musiva	0	1	0	0
Sphaerulina myriadea	0	1	0	1
Spizellomyces acuminatus	0	6	0	5
Spizellomyces dolichospermus	0	1	0	1
Spizellomyces kniepii	0	1	0	1
Spizellomyces lactosolyticus	0	1	0	0
Spizellomyces pseudodichotomus	0	3	1	3
Spizellomyces punctatus	0	2	2	2
Spizellomycetaceae	12	0	0	8
Sporidiobolaceae	2	0	0	2
Sporidiobolales incertae sedis	14	0	0	74
Sporidiobolales_incertae sedis	63	0	0	0
Sporobolomyces phaffii	0	1	0	0
Sporobolomyces roseus	0	1	0	0
Sporobolomyces salicinus	0	3	0	3
Sporormia fimetaria	0	1	1	1
Sporormiaceae	93	0	0	91
Sporormiella dakotensis	0	1	0	1
Sporormiella leporina	0	3	0	3
Sporormiella megalospora	0	2	1	2
Sporormiella minima	0	2	0	1
Sporormiella pulchella	0	1	0	1
Stachybotrys chartarum	0	1	0	0
Stachybotrys eucylindrospora	0	1	1	1
Stagonospora foliicola	0	5	0	5
Stagonospora pseudovitensis	0	19	0	9
Steccherinaceae	1	0	0	1
Steccherinum fimbriatum	0	1	0	1
Stereaceae	4	0	0	3
Stereocaulaceae	1	0	0	1
Stereopsis radicans	0	1	0	1
Stereum hirsutum	0	1	0	0
Stereum sanguinolentum	0	1	0	0
Stigmina carpophila	0	2	0	2
Stropharia aeruginosa	0	1	0	0
Stropharia coronilla	0	2	0	2
Stropharia cyanea	0	43	0	0
Strophariaceae	49	0	0	49
Stylonectria norvegica	0	11	0	3
Stylonectria wegeliniana	0	1	0	1
Subplenodomus apiicola	0	16	0	16
Subramaniula anamorphosa	0	1	0	1
Sugitazyma miyagiana	0	1	0	1
Suillaceae	10	0	0	8
Suillus brevipes	0	8	0	2
Suillus flavidus	0	1	1	1
Suillus lakei	0	1	1	1
Suillus variegatus	0	2	0	0
Sydowia polyspora	0	6	0	5
Syncephalastrum racemosum	0	1	0	1
Talaromyces atricola	0	1	0	0
Talaromyces luteus	0	2	1	2
Talaromyces proteolyticus	0	1	0	1
Talaromyces sayulitensis	0	1	0	0
Talaromyces wortmannii	0	1	0	1
Taphrina carnea	0	2	0	2
Taphrina epiphylla	0	1	0	0
Taphrina kruchii	0	1	0	1
Taphrina padi	0	2	0	1
Taphrina tormentillae	0	1	0	0
Taphrina tosquinetii	0	1	0	0
Taphrina vestergrenii	0	1	1	1
Taphrinaceae	11	0	0	11
Teloschistaceae	2	0	0	1
Tephrocybe anthracophila	0	4	0	4
Teratosphaeriaceae	1	0	0	1
Tetracladium marchalianum	0	9	0	4
Tetraplosphaeria nagasakiensis	0	1	0	1
Tetrapyrgos subdendrophora	0	20	6	7
Thecaphora oxytropis	0	1	0	0
Thecaphora thlaspeos	0	2	2	2
Thelebolaceae	2	0	0	1
Thelebolus globosus	0	3	1	3
Thelephora caryophyllea	0	2	0	0
Thelephora digitata	0	1	1	1
Thelephoraceae	72	0	0	71
Thielavia intermedia	0	4	0	4
Thielavia subthermophila	0	1	0	0
Thyronectria berolinensis	0	1	0	0
Thyronectria roseovirens	0	1	0	1
Thyronectria sinopica	0	1	0	1
Thysanorea papuana	0	1	0	1
Tilletia puccinelliae	0	1	1	1
Tilletiaceae	1	0	0	0
Tolypocladium inflatum	0	1	0	1
Tomentella alpina	0	1	0	0
Tomentella badia	0	1	0	0
Tomentella lilacinogrisea	0	1	1	1
Tomentella stuposa	0	1	0	0
Toninia physaroides	0	8	0	8
Torrendiella eucalypti	0	1	0	1
Torulaspora delbrueckii	0	1	0	0
Trametes cubensis	0	1	1	1
Trametes trogii	0	1	0	0
Tranzscheliella williamsii	0	11	0	9
Trechispora cohaerens	0	1	0	0
Trechispora invisitata	0	1	0	0
Trechispora microspora	0	1	0	0
Trechispora stevensonii	0	1	0	0
Trematosphaeria hydrela	0	48	0	48
Tremella indecorata	0	1	1	1
Tremella phaeophysciae	0	1	0	1
Tremella tuckerae	0	1	0	1
Tremellaceae	700	0	0	684
Tremellales incertae sedis	5	0	0	60
Tremellales_incertae sedis	57	0	0	0
Trichaptum laricinum	0	0	1	1
Trichocladium opacum	0	41	3	23
Trichocladium pyriforme	0	13	0	13
Trichocomaceae	69	0	0	67
Trichoderma aerugineum	0	1	1	1
Trichoderma costaricense	0	1	0	1
Trichoderma harzianum	0	1	0	1
Trichoderma longibrachiatum	0	2	0	0
Trichoderma spirale	0	1	0	0
Trichoderma stellatum	0	2	0	0
Trichoderma tremelloides	0	1	0	1
Trichoderma trixiae	0	2	0	0
Trichoderma virens	0	1	0	1
Trichoderma viride	0	2	0	2
Trichoglossum hirsutum	0	3	1	3
Tricholoma argyraceum	0	1	0	0
Tricholoma focale	0	1	0	0
Tricholoma saponaceum	0	1	0	0
Tricholoma terreum	0	1	0	0
Tricholoma vaccinum	0	1	0	0
Tricholomataceae	17	0	0	14
Trichomonascaceae	1	0	0	1
Trichopeziza mollissima	0	13	0	13
Trichophaea hybrida	0	1	1	1
Trichosphaeriales incertae sedis	0	0	0	1
Trichosphaeriales_incertae sedis	1	0	0	0
Trichosporonaceae	2	0	0	2
Trigonopsis cantarellii	0	1	0	1
Trypethelium eluteriae	0	1	0	1
Tubaria furfuracea	0	1	0	1
Tubaria minima	0	22	0	22
Tuber anniae	0	1	0	0
Tuber beyerlei	0	1	0	0
Tuber pseudoexcavatum	0	5	0	5
Tuberaceae	2	0	0	2
Tubulicrinis borealis	0	1	1	1
Tubulicrinis subulatus	0	1	1	1
Tulostoma domingueziae	0	1	0	1
Tulostoma xerophilum	0	2	0	2
Tumularia aquatica	0	26	0	26
Typhula incarnata	0	1	1	1
Typhula ishikariensis	0	2	1	1
Typhula maritima	0	3	0	1
Typhula variabilis	0	1	0	1
Typhulaceae	5	0	0	3
Tyromyces leucospongia	0	1	1	1
Udeniomyces kanasensis	0	525	338	392
Udeniomyces puniceus	0	20	3	4
Udeniomyces pyricola	0	1	0	1
Ulocladium chartarum	0	3	0	0
Umbelopsidaceae	1	0	0	1
Umbilicaria phaea	0	1	0	1
Umbilicariaceae	1	0	0	1
Unguicularia carestiana	0	2	0	2
Unidentified	29145	27117	40855	22544
Urnula helvelloides	0	1	0	1
Urocystis agropyri	0	5	2	5
Urocystis eranthidis	0	4	0	4
Urocystis trillii	0	1	0	1
Usnea intermedia	0	1	0	1
Ustilaginaceae	508	0	0	507
Ustilago echinata	0	1	0	0
Ustilago filiformis	0	1	0	0
Ustilago hordei	0	22	1	3
Ustilago nunavutica	0	455	0	0
Ustilago shanxiensis	0	23	0	0
Valsa abietis	0	1	0	1
Valsaceae	6	0	0	6
Vanderwaltozyma verrucispora	0	1	0	1
Vankya heufleri	0	1	0	1
Variospora velana	0	1	0	1
Veluticeps abietina	0	1	0	1
Venturia aceris	0	1	0	0
Venturia atriseda	0	1	0	0
Venturia hystrioides	0	4	0	0
Venturia minuta	0	4	0	0
Venturia populina	0	4	0	2
Venturiaceae	21	0	0	21
Vermiconia calcicola	0	1	0	1
Veronaea botryosa	0	1	0	1
Veronaea compacta	0	1	0	1
Veronaea japonica	0	6	0	6
Verpa bohemica	0	1	1	1
Verpa conica	0	1	0	0
Verrucaria aethiobola	0	1	0	0
Verrucaria muralis	0	2	1	1
Verrucariaceae	8	0	0	7
Verrucisporota daviesiae	0	1	0	1
Verrucoconiothyrium prosopidis	0	1	0	1
Verrucostoma freycinetiae	0	1	0	1
Verticillium isaacii	0	1	0	0
Verticillium longisporum	0	1	0	1
Vibrissea flavovirens	0	2	0	2
Vibrissea truncorum	0	1	0	1
Vibrisseaceae	4	0	0	3
Vishniacozyma dimennae	0	13	0	13
Vishniacozyma heimaeyensis	0	1	0	1
Vishniacozyma tephrensis	0	18	0	3
Vishniacozyma victoriae	0	22	0	9
Volutella ciliata	0	2	0	2
Vuilleminia cystidiata	0	1	0	1
Waitea circinata var. circinata	0	1	0	0
Westerdykella nigra	0	1	0	0
Wickerhamomyces anomalus	0	1	1	1
Wickerhamomyces canadensis	0	1	0	1
Wilcoxina mikolae	0	1	1	1
Wilcoxina rehmii	0	21	4	8
Wojnowicia dactylidicola	0	3	0	3
Wolfiporia cocos	0	1	0	1
Xanthoria calcicola	0	2	0	2
Xanthoria elegans	0	1	1	1
Xenasmatella vaga	0	1	0	1
Xerochrysium dermatitidis	0	1	0	1
Xeromphalina cauticinalis	0	1	0	0
Xylaria arbuscula	0	1	0	1
Xylaria hypoxylon	0	1	0	1
Xylariaceae	3	0	0	3
Xylariales_incertae sedis	1	0	0	0
Xylodon detriticus	0	2	0	2
Xylodon erastii	0	2	0	2
Zalerion arboricola	0	1	0	0
Zoellneria rosarum	0	1	0	1
Zopfiella lundqvistii	0	2	0	2
Zopfiella marina	0	2	0	2
Zymoseptoria verkleyi	0	2	0	0
