Isolate,MorphotypeNo,Date_Subculture,Site,Species,Trt,Date_Original,DescriptionTop,DescriptionBottom,Notes,Subcultured,Clustered_morphotype,Archived,New_Notes,DNA,Extraction.plate.NOT.GENEWIZ.PLATES,To_do,Status,Updated_morph,X,OTU,Newest_morph
520,222,,WM-5,FETH-1,Control,,,,,No,1,NA,,NA,,,,,,NA,
521,222,,WM-5,FETH-1,Control,,,,,No,1,NA,,NA,,,,,Shipped in Plate 4,NA,
1519,222,,WM-4,FETH-2,Warming,,,,,No,1,NA,,NA,,,,,,NA,
519,222,,WM-5,FETH-1,Control,,,,,No,1,NA,,NA,,,,,Retry Jan 9th,NA,
518,222,22-Jul-17,WM-5,FETH-1,Control,18-Jul-17,white opaque,,,Yes,1,Archived,,NA,,find_3,MISSING,NA,,NA,
884,345,28-Jul-17,WM-1,POPR-3,Control,,"dark red, brown edge",,,Yes,1,Archived,,Extracted,Tube,find_4,Found,207,,NA,
885,345,,WM-1,POPR-3,Control,,,,,No,1,NA,,NA,,,,,,NA,
888,345,,WM-1,POPR-3,Control,,,,,No,1,NA,,NA,,,,,,NA,
1013,399,28-Jul-17,WM-9,POPR-4,Control,,"Green edge, dark/gray",,,Yes,1,Archived,,NA,,,,210,,NA,
1122,515,28-Jul-17,WM-6,POPR-6,Warming,,"Gray, brownish",,,Yes,1,Archived,,PCR ,4,find_3,Send,210,,NA,
172,69,,WM-1,POPR-2,Control,13-Jul-17,,,,No,2,NA,,Sequenced,2,,Done,2,,16,16
171,69,19-Jul-17,WM-1,POPR-2,Control,13-Jul-17,"opaque, gray",,,Yes,2,Find,,Sequenced,2,,Done,2,,16,16
174,69,,WM-1,POPR-2,Control,13-Jul-17,,,,No,2,NA,,NA,,,Done,2,,NA,16
175,69,,WM-1,POPR-2,Control,13-Jul-17,,,,No,2,NA,,NA,,,Done,2,,NA,16
176,69,,WM-1,POPR-2,Control,13-Jul-17,,,,No,2,NA,,NA,,,Done,2,,NA,16
1359,69,,WM-1,POPR-2,Control,,,,,No,2,NA,,NA,,,Done,2,,NA,16
1356,69,,WM-1,POPR-2,Control,,,,,No,2,NA,,NA,,,Done,2,,NA,16
173,69,,WM-1,POPR-2,Control,13-Jul-17,,,,No,2,NA,,NA,,,Done,2,,NA,16
335,119,20-Jul-17,WM-10,FETH-2,Warming,14-Jul-17,"opaque, white",,,Yes,3,Find,,Sequenced,5,find_2,Done,245,,42,42
336,119,,WM-10,FETH-2,Warming,14-Jul-17,,,,No,3,NA,,NA,,,Done,245,,NA,42
339,119,,WM-10,FETH-2,Warming,14-Jul-17,,,,No,3,NA,,NA,,,Done,245,,NA,42
340,119,,WM-10,FETH-2,Warming,14-Jul-17,,,,No,3,NA,,NA,,,Done,245,,NA,42
699,119,,WM-10,FETH-2,Warming,,,,,No,3,NA,,NA,,,Done,245,,NA,42
700,119,,WM-10,FETH-2,Warming,,,,,No,3,NA,,NA,,,Done,245,,NA,42
701,119,,WM-10,FETH-2,Warming,,,,,No,3,NA,,NA,,,Done,245,,NA,42
1581,119,,WM-8,ACLE-1,Warming,,,,,No,3,NA,,NA,,,Done,245,,NA,42
1636,119,,WM-7,FETH-4,Control,,,,,No,3,NA,,NA,,,Done,245,,NA,42
338,119,,WM-10,FETH-2,Warming,14-Jul-17,,,,No,3,NA,,NA,,,Done,245,retry Jan 22,NA,42
698,119,,WM-10,FETH-2,Warming,,,,,No,3,NA,,NA,,,Done,245,missing but have DNA for it??,NA,42
337,119,,WM-10,FETH-2,Warming,14-Jul-17,,,,No,3,NA,,NA,,,Done,245,,NA,42
60,33,18-Jul-17,ER-H,FETH,ELEV,13-Jul-17,opaque,,,Yes,3,Find,,Sequenced,,,Done,3,,62,62
58,33,,ER-H,FETH,ELEV,13-Jul-17,,,,No,3,NA,,NA,,,Done,3,,NA,62
59,33,,ER-H,FETH,ELEV,13-Jul-17,,,,No,3,NA,,NA,,,Done,3,,NA,62
61,33,,ER-H,FETH,ELEV,13-Jul-17,,,,No,3,NA,,NA,,,Done,3,,NA,62
929,33,,ER-H,FETH,ELEV,,,,,No,3,NA,,NA,,,Done,3,retry Jan 22,NA,62
930,33,,ER-H,FETH,ELEV,,,,,No,3,NA,,NA,,,Done,3,,NA,62
931,33,,ER-H,FETH,ELEV,,,,,No,3,NA,,NA,,,Done,3,extracted jan26,NA,62
937,33,,ER-H,FETH,ELEV,,,,,No,3,NA,,NA,,,Done,3,,NA,62
57,33,,ER-H,FETH,ELEV,13-Jul-17,,,,No,3,NA,,NA,,,Done,3,,NA,62
1135,520,28-Jul-17,WM-7,POPR-5,Control,,Clear,,,Yes,3,Find,,Sequenced,,,Done,246,,73,73
1138,520,,WM-7,POPR-5,Control,,,,,No,3,NA,,NA,,,Done,245,,NA,73
188,74,19-Jul-17,WM-2,POPR-1,Warming,13-Jul-17,opaque,,,Yes,4,Find,ITS1-FL in SP Plate 2,Sequenced,,,Done,4,,19,19
201,74,,WM-2,POPR-1,Warming,13-Jul-17,,,,No,4,NA,,NA,,,Done,4,,NA,19
187,74,,WM-2,POPR-1,Warming,13-Jul-17,,,,No,4,NA,,NA,,,Done,4,,NA,19
189,74,,WM-2,POPR-1,Warming,13-Jul-17,,,,No,4,NA,,NA,,,Done,4,,NA,19
190,74,,WM-2,POPR-1,Warming,13-Jul-17,,,,No,4,NA,,NA,,find_2,Done,4,,NA,19
191,74,,WM-2,POPR-1,Warming,13-Jul-17,,,,No,4,NA,,NA,,,Done,4,,NA,19
192,74,,WM-2,POPR-1,Warming,13-Jul-17,,,,No,4,NA,,NA,,,Done,4,,NA,19
194,74,,WM-2,POPR-1,Warming,13-Jul-17,,,,No,4,NA,,NA,,,Done,4,,NA,19
198,74,,WM-2,POPR-1,Warming,13-Jul-17,,,,No,4,NA,,NA,,,Done,4,,NA,19
200,74,,WM-2,POPR-1,Warming,13-Jul-17,,,,No,4,NA,,NA,,,Done,4,,NA,19
202,74,,WM-2,POPR-1,Warming,13-Jul-17,,,,No,4,NA,,NA,,,Done,4,,NA,19
193,74,,WM-2,POPR-1,Warming,13-Jul-17,,,,No,4,NA,,NA,,,Done,4,,NA,19
312,114,20-Jul-17,WM-10,POPR-1,Warming,14-Jul-17,"grey, opaque",,,Yes,5,Find,ITS1-FL in SP Plate 2,Sequenced,2,find,,,,49,49
314,114,,WM-10,POPR-1,Warming,14-Jul-17,,,,No,5,NA,,NA,,,,,,NA,49
315,114,,WM-10,POPR-1,Warming,14-Jul-17,,,,No,5,NA,,NA,,,,,,NA,49
316,114,,WM-10,POPR-1,Warming,14-Jul-17,,,,No,5,NA,,NA,,,,,,NA,49
313,114,,WM-10,POPR-1,Warming,14-Jul-17,,,,No,5,NA,,NA,,,,,retry Jan 22,NA,49
359,130,20-Jul-17,WM-8,FETH-6,Warming,14-Jul-17,"opaque, yellow center",,,Yes,5,Archived,,Extracted,Tube,,Found,,,NA,Extract
341,120,20-Jul-17,WM-10,FETH-2,Warming,14-Jul-17,"black core, white radial",,,Yes,6,Find,,Sequenced,2,find,Done,6,,59,59
384,145,21-Jul-17,WM-8,POPR-6,Warming,14-Jul-17,"opaque, black center",,,Yes,7,Find,,Sequenced,2,,Done,7,Shipped in Plate 4,59,59
404,157,21-Jul-17,WG-L,FETH,ELEV,11-Jul-17,"opaque, black center",,,Yes,8,Find,,Sequenced,2,find,Done,8,,24,24
1315,157,,WG-L,FETH,ELEV,,,,,No,8,NA,,NA,,,Done,274,,NA,24
1316,157,,WG-L,FETH,ELEV,,,,,No,8,NA,,NA,,,Done,274,,NA,24
680,289,26-Jul-17,TR-H,ACLE,ELEV,,Brown/gray,Black,,Yes,8,Archived,,Sequenced,2,find,Done,274,,48,48
682,289,,TR-H,ACLE,ELEV,,,,,No,8,NA,,NA,,,Done,274,,NA,48
683,289,,TR-H,ACLE,ELEV,,,,,No,8,NA,,NA,,,Done,274,,NA,48
685,289,,TR-H,ACLE,ELEV,,,,,No,8,NA,,NA,,,Done,274,,NA,48
681,289,,TR-H,ACLE,ELEV,,,,,No,8,NA,,NA,,,Done,274,,NA,48
684,289,,TR-H,ACLE,ELEV,,,,,No,8,NA,,NA,,,Done,274,,NA,48
401,154,21-Jul-17,WG-L,FESA,ELEV,11-Jul-17,opaque,,,Yes,9,Archived,,DNA failed,2,find,Found,,,NA,Extract
1246,154,,WG-L,FESA,ELEV,,,,,No,9,NA,,NA,,,,,,NA,
1247,154,,WG-L,FESA,ELEV,,,,,No,9,NA,,NA,,,,,,NA,
1241,154,,WG-L,FESA,ELEV,,,,,No,9,NA,,NA,,,,,Shipped in Plate 4,NA,
411,161,21-Jul-17,WG-L,ELEL,ELEV,11-Jul-17,opaque,,,Yes,10,Find,,Sequenced,5,find_2,,,,60,60
1304,161,,WG-L,ELEL,ELEV,,,,,No,10,NA,,NA,,,,,,NA,60
1305,161,,WG-L,ELEL,ELEV,,,,,No,10,NA,,NA,,,,,,NA,60
1306,161,,WG-L,ELEL,ELEV,,,,,No,10,NA,,NA,,,,,,NA,60
1307,161,,WG-L,ELEL,ELEV,,,,,No,10,NA,,NA,,,,,,NA,60
1308,161,,WG-L,ELEL,ELEV,,,,,No,10,NA,,NA,,,,,extracted jan26,NA,60
1310,161,,WG-L,ELEL,ELEV,,,,,No,10,NA,,NA,,,,,recultured,NA,60
1311,161,,WG-L,ELEL,ELEV,,,,,No,10,NA,,NA,,,,,,NA,60
1312,161,,WG-L,ELEL,ELEV,,,,,No,10,NA,,NA,,,,,retry Jan 22,NA,60
1309,161,,WG-L,ELEL,ELEV,,,,,No,10,NA,,NA,,,,,retry Jan 22,NA,60
400,153,21-Jul-17,WG-L,FESA,ELEV,11-Jul-17,pink,,,Yes,10,NA,,NA,,find_2,Find,NA,Failed in Retry Jan 22nd,NA,400
1143,153,,WM-1,ACLE-1,Control,,,,,No,10,NA,,NA,,,,,,NA,
1144,153,,WM-1,ACLE-1,Control,,,,,No,10,NA,,NA,,,,,,NA,
1240,153,,WG-L,FESA,ELEV,,,,,No,10,NA,,NA,,,,,,NA,
407,161,,WG-L,ELEL,ELEV,11-Jul-17,,,,No,10,NA,,NA,,,,,,NA,
408,161,,WG-L,ELEL,ELEV,11-Jul-17,,,,No,10,NA,,NA,,,,,,NA,
409,161,,WG-L,ELEL,ELEV,11-Jul-17,,,,No,10,NA,,NA,,,,,,NA,
509,216,22-Jul-17,WM-6,POPR-4,Warming,18-Jul-17,black center,,,Yes,11,Archived,,Sequenced,4,find_2,Done,273,,61,61
510,216,,WM-6,POPR-4,Warming,,,,,No,11,NA,,NA,,,Done,273,,NA,61
511,216,,WM-6,POPR-4,Warming,,,,,No,11,NA,,NA,,,Done,273,,NA,61
512,216,,WM-6,POPR-4,Warming,,,,,No,11,NA,,NA,,,Done,273,,NA,61
902,351,,ER-H,POPR,ELEV,,,,,No,11,NA,,NA,,,,,,NA,61
18,14,18-Jul-17,WG-L,FESA,ELEV,11-Jul-17,black center -> grey,,,Yes,11,Archived,,Sequenced,Tube,find_3,Done,250,,70,70
26,17,18-Jul-17,WG-L,ELTR,ELEV,11-Jul-17,gray-green center,,,Yes,11,Archived,,Sequenced,,,Done,250,,70,70
147,62,19-Jul-17,WM-2,ACLE-2,Warming,13-Jul-17,"opaque, black interior",,,Yes,11,Archived,,Sequenced,tube,find_2,Done,250,,70,70
491,207,22-Jul-17,TR-H,FESA,ELEV,17-Jul-17,black,,,Yes,11,Archived,,Sequenced,,,Done,250,,70,70
4,4,15-Jul-17,WG-L,ELTR,ELEV,11-Jul-17,,,,Yes,11,Archived,,DNA failed,tube,,,,,NA,70
6,6,,WG-H,ELTR,ELEV,11-Jul-17,,,,No,11,NA,,NA,,,,11,,NA,70
7,6,,WG-H,ELTR,ELEV,11-Jul-17,,,,No,11,NA,,NA,,,,11,,NA,70
8,6,15-Jul-17,WG-H,ELTR,ELEV,11-Jul-17,,,,Yes,11,Archived,,CTB6,2,,,11,,NA,70
1199,6,,WG-H,ELTR,ELEV,,,,,No,11,NA,,NA,,,,11,,NA,70
29,17,,WG-L,ELTR,ELEV,11-Jul-17,,,,No,11,NA,,NA,,,Done,250,,NA,70
149,62,,WM-2,ACLE-2,Warming,13-Jul-17,,,,No,11,NA,,NA,,,Done,250,Shipped in Plate 4,NA,70
148,62,,WM-2,ACLE-2,Warming,13-Jul-17,,,,No,11,NA,,NA,,,Done,250,,NA,70
1504,62,,WM-2,ACLE-2,Warming,,,,,No,11,NA,,NA,,,Done,250,,NA,70
1505,62,,WM-2,ACLE-2,Warming,,,,,No,11,NA,,NA,,,Done,250,,NA,70
157,65,,WM-2,POPR-2,Warming,13-Jul-17,,,,No,11,NA,,NA,,find_2,,,,NA,70
158,65,,WM-2,POPR-2,Warming,13-Jul-17,,,,No,11,NA,,NA,,find_2,,,,NA,70
160,65,19-Jul-17,WM-2,POPR-2,Warming,13-Jul-17,"opaque, black center",,,Yes,11,Find,,NA,,,,,,NA,70
161,65,,WM-2,POPR-2,Warming,13-Jul-17,,,,No,11,NA,,NA,,,,,,NA,70
159,65,,WM-2,POPR-2,Warming,13-Jul-17,,,,No,11,NA,,NA,,,,,retryjan22,NA,70
492,207,,TR-H,FESA,ELEV,,,,,No,11,NA,,NA,,,Done,250,,NA,70
493,207,,TR-H,FESA,ELEV,,,,,No,11,NA,,NA,,,Done,250,,NA,70
494,207,,TR-H,FESA,ELEV,,,,,No,11,NA,,NA,,,Done,250,,NA,70
495,207,,TR-H,FESA,ELEV,,,,,No,11,NA,,NA,,,Done,250,,NA,70
496,207,,TR-H,FESA,ELEV,,,,,No,11,NA,,NA,,,Done,250,,NA,70
497,207,,TR-H,FESA,ELEV,,,,,No,11,NA,,NA,,,Done,250,,NA,70
498,207,,TR-H,FESA,ELEV,,,,,No,11,NA,,NA,,,Done,250,,NA,70
1277,207,,WG-L,POLE,ELEV,,,,,No,11,NA,,NA,,,Done,250,,NA,70
1278,207,,WG-L,POLE,ELEV,,,,,No,11,NA,,NA,,,Done,250,,NA,70
1291,207,,TR-H,FESA,ELEV,,,,,No,11,NA,,NA,,,Done,250,Retry Jan 9th,NA,70
505,212,22-Jul-17,WM-6,POPR-6,Warming,18-Jul-17,black center,,,Yes,11,Archived,,NA,,,,,,NA,Extract
1658,216,,WM-6,POPR-4,Warming,,,,,No,11,NA,,NA,,,Done,273,,NA,
901,351,28-Jul-17,ER-H,POPR,ELEV,,"black center, opaque edge",,,Yes,11,Archived,,NA,,,,,needs to be splitted,NA,Extract
115,51,18-Jul-17,WM-1,FETH-6,Control,12-Jul-17,black/green,,,Yes,12,Archived,,Sequenced,4,find_2,Done,12,,99,99
500,209,22-Jul-17,TR-H,TRSP,ELEV,17-Jul-17,"black center, white radiating",,,Yes,12,Archived,,Sequenced,,,Done,12,,99,99
33,22,18-Jul-17,WG-H,ACLE,ELEV,11-Jul-17,"black center, white radiates",,,Yes,12,Archived,,NA,,,Done,12,,NA,99
34,22,,WG-H,ACLE,ELEV,11-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
35,22,,WG-H,ACLE,ELEV,11-Jul-17,,,,No,12,NA,,NA,,find_2,Done,12,,NA,99
36,22,,WG-H,ACLE,ELEV,11-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
37,22,,WG-H,ACLE,ELEV,11-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
38,23,18-Jul-17,WG-L,ACLE,ELEV,11-Jul-17,gray,,,Yes,12,Archived,,NA,,,Done,12,,NA,99
93,43,18-Jul-17,ER-L,POLE,ELEV,12-Jul-17,black/green,,,Yes,12,Archived,,non-specific,2,Do PCR from Plate 2 again,Done,12,retry Jan 22,NA,99
707,43,,ER-L,POLE,ELEV,,,,,No,12,NA,,NA,,,Done,12,,NA,99
708,43,,ER-L,POLE,ELEV,,,,,No,12,NA,,NA,,,Done,12,,NA,99
1205,51,,TR-L,ACLE,ELEV,,,,,No,12,NA,,NA,,,Done,12,,NA,99
1206,51,,TR-L,ACLE,ELEV,,,,,No,12,NA,,NA,,find_2,Done,12,,NA,99
1207,51,,TR-L,ACLE,ELEV,,,,,No,12,NA,,NA,,,Done,12,,NA,99
177,70,19-Jul-17,WM-1,POPR-2,Control,13-Jul-17,black circle with cushy gray,dark black,,Yes,12,Archived,,NA,,,Done,12,,NA,99
1159,70,,WM-10,FETH-1,Warming,,,,,No,12,NA,,NA,,,Done,12,,NA,99
1354,70,,WM-1,POPR-2,Control,,,,,No,12,NA,,NA,,,Done,12,,NA,99
306,112,20-Jul-17,WM-10,POPR-1,Warming,14-Jul-17,"dark,blackish green",,,Yes,12,Archived,,NA,,,Done,12,Retry Jan 22nd,NA,99
307,112,,WM-10,POPR-1,Warming,14-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
308,112,,WM-10,POPR-1,Warming,14-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
309,112,,WM-10,POPR-1,Warming,14-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
310,112,,WM-10,POPR-1,Warming,14-Jul-17,,,,No,12,NA,,NA,,find_2,Done,12,,NA,99
1379,112,,WM-10,ACLE-7,Warming,,,,,No,12,NA,,NA,,,Done,12,,NA,99
1381,112,,WM-10,ACLE-7,Warming,,,,,No,12,NA,,NA,,,Done,12,retry Jan 22,NA,99
1380,112,,WM-10,ACLE-7,Warming,,,,,No,12,NA,,NA,,,Done,12,I think 13 is good got down to genus. ,NA,99
1378,112,,WM-10,ACLE-7,Warming,,,,,No,12,NA,,NA,,,Done,12,,NA,99
348,124,20-Jul-17,WM-10,POPR-6,Warming,14-Jul-17,black,,,Yes,12,Archived,,NA,,,Done,12,,NA,99
349,124,,WM-10,POPR-6,Warming,14-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
1177,124,,WM-10,POPR-6,Warming,,,,,No,12,NA,,NA,,,Done,12,,NA,99
1179,124,,WM-10,POPR-6,Warming,,,,,No,12,NA,,NA,,,Done,12,,NA,99
350,124,,WM-10,POPR-6,Warming,14-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
1178,124,,WM-10,POPR-6,Warming,,,,,No,12,NA,,NA,,,Done,12,,NA,99
354,126,20-Jul-17,WM-10,POPR-6,Warming,14-Jul-17,"orange, opaque",,,Yes,12,Archived,,PCR,4,find_3,Done,12,,NA,99
369,136,20-Jul-17,WM-8,ACLE-1,Warming,14-Jul-17,"opaque, black center",,,Yes,12,Archived,,NA,,,Done,12,,NA,99
370,136,,WM-8,ACLE-1,Warming,14-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
371,136,,WM-8,ACLE-1,Warming,14-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
372,136,,WM-8,ACLE-1,Warming,14-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
373,136,,WM-8,ACLE-1,Warming,14-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
1582,136,,WM-8,ACLE-1,Warming,,,,,No,12,NA,,NA,,,Done,12,,NA,99
1583,136,,WM-8,ACLE-1,Warming,,,,,No,12,NA,,NA,,,Done,12,,NA,99
1584,136,,WM-8,ACLE-1,Warming,,,,,No,12,NA,,NA,,,Done,12,,NA,99
387,147,,WM-8,POPR-2,Warming,14-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
388,147,21-Jul-17,WM-8,POPR-2,Warming,14-Jul-17,"opaque, black center",,,Yes,12,Find,,NA,,find_5,Done,12,,NA,99
389,147,,WM-8,POPR-2,Warming,14-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
390,147,,WM-8,POPR-2,Warming,14-Jul-17,,,,No,12,NA,,NA,,,Done,12,,NA,99
386,147,,WM-8,POPR-2,Warming,14-Jul-17,,,,No,12,NA,,NA,,,Done,12,Shipped in Plate 4,NA,99
396,150,21-Jul-17,WM-8,POPR-4,Warming,14-Jul-17,"opaque, black",,,Yes,12,Archived,,PCR,4,find_2,Done,12,,NA,99
501,209,,TR-H,TRSP,ELEV,,,,,No,12,NA,,NA,,,Done,12,,NA,99
502,209,,TR-H,TRSP,ELEV,,,,,No,12,NA,,NA,,,Done,12,,NA,99
1273,209,,TR-H,TRSP,ELEV,,,,,No,12,NA,,NA,,,Done,12,,NA,99
507,214,22-Jul-17,WM-6,POPR-5,Warming,18-Jul-17,black center,,,Yes,12,Archived,,NA,,,Done,12,,NA,99
942,368,28-Jul-17,ER-H,FESA,ELEV,,Gray green,,,Yes,12,Archived,,NA,,,Done,12,,NA,99
945,371,28-Jul-17,ER-H,FESA,ELEV,,"white, fuzzy",,,Yes,12,Archived,,NA,,,Done,12,,NA,99
1002,371,,WM-9,ACLE-6,Control,,,,,No,12,NA,,NA,,,Done,12,,NA,99
948,374,28-Jul-17,ER-H,FESA,ELEV,,"gray green, netted hyphae",,,Yes,12,Archived,,NA,,,Done,12,,NA,99
1433,556,2-Aug-17,TR-L,FETH,ELEV,,Dark gray/green,,,Yes,12,Archived,,NA,,,Done,12,,NA,99
1475,567,4-Aug-17,WM-6,ACLE-3,Warming,,Dark green matted,,,Yes,12,Find,,NA,,,Done,12,,NA,99
95,45,18-Jul-17,ER-L,ELTR,ELEV,12-Jul-17,black/green,,,Yes,13,Archived,,Sequenced,3,,,212,,0,0
96,45,,ER-L,ELTR,ELEV,12-Jul-17,,,,No,13,NA,,NA,,,,212,,NA,0
845,45,,ER-L,ELTR,ELEV,,,,,No,13,NA,,NA,,,,212,,NA,0
846,45,,ER-L,ELTR,ELEV,,,,,No,13,NA,,NA,,,,212,,NA,0
70,36,18-Jul-17,ER-L,ELEL,ELEV,12-Jul-17,"opaque, clear",,yeast growing on top - pink spots,Yes,13,Archived,,Extracted,Tube,find_4,Sequenced,213,,16,16
73,37,18-Jul-17,ER-L,ELEL,ELEV,12-Jul-17,"black/green, fuzzy",,,Yes,13,Archived,,PCR,4,find_3,Sequenced,213,,16,16
10,8,18-Jul-17,WG-L,TRSP,ELEV,11-Jul-17,"same, fuzzy",white streaks,,Yes,13,Archived,,PCR tube failed,Tube,find_4,PCR,215,,NA,16
12,8,,WG-L,TRSP,ELEV,11-Jul-17,,,,No,13,NA,,NA,,,,215,,NA,16
13,8,,WG-L,TRSP,ELEV,11-Jul-17,,,,No,13,NA,,NA,,,,215,,NA,16
1331,8,,WG-L,TRSP,ELEV,,,,,No,13,NA,,NA,,,,215,,NA,16
1333,8,,WG-L,TRSP,ELEV,,,,,No,13,NA,,NA,,,,215,,NA,16
